"","heretocreate"
"141","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"142","RT @CoerverEW: COERVER® BLOG - Coerver® EW work with adidas® UK Tango League Champions <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

On Wednesday we spent the day with @kings5s at @a…"
"143","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"144","RT @YesWeCrann: How’s this for a prize?!

Ahead of this weekend’s #SowetoDerby, I have this amazing Orlando Pirates signed jersey to give a…"
"145","RT @TeamMessi: The ultimate stage awaits.
Leo Messi is #HereToCreate https://t.co/i7LMNUUdRG"
"146","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"147","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"148","RT @CoerverEW: COERVER® BLOG - Coerver® EW work with adidas® UK Tango League Champions <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

On Wednesday we spent the day with @kings5s at @a…"
"149","RT @YourManDevine: .@JHarden13 @adidasUS @adidasHoops Got that new logo you guys were looking for, thanks for the design opportunity #HereT…"
"150","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"151","RT @BallFever_CO_Tr: More... #DareToBeElite playoff style performances 2020 PG @kobesanderss and 2019 ""do-it-all"" stud @BryceMatthews24 who…"
"152","RT @adidasfootball: All black everything. 
The new Nite Crawler #Predator Tango 18+, available now: https://t.co/b6GNzYVDDa
#HereToCreate h…"
"153","More... #DareToBeElite playoff style performances 2020 PG @kobesanderss and 2019 ""do-it-all"" stud @BryceMatthews24… https://t.co/9kcFVsFzL3"
"154","RT @PhilaUnion: More than a jersey. @MenInBlazers review Union’s 2018 @MLS primary kit. #HereToCreate 

@adidassoccer | @adidasfootball htt…"
"155","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"156","RT @HoustonDynamo: Topical references! Banter! Baldness!

This @MenInBlazers review of our 2018 @adidassoccer secondary jersey has it all!…"
"157","RT @hella_sneakers: Free: Enter to win @BoostedStripes via IG. RT pls. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

https://t.co/Drhs1hJ4WA

#boostvibes
#heretocreate
@adidasorigina…"
"158","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"159","RT @adidasfootball: All black everything. 
The new Nite Crawler #Predator Tango 18+, available now: https://t.co/b6GNzYVDDa
#HereToCreate h…"
"160","RT @paulpogba: Good morning <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>
#heretocreate #manutd 
@ManUtd @adidasfootball https://t.co/l2EyJ5I498"
"161","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"162","RT @HoustonDynamo: Topical references! Banter! Baldness!

This @MenInBlazers review of our 2018 @adidassoccer secondary jersey has it all!…"
"163","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"164","RT @TimbersFC: The colors. The words. The stripes.

@MenInBlazers review our 2018 @MLS secondary kit. #HereToCreate #RCTID https://t.co/R67…"
"165","RT @paulpogba: Wakanda forever <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>.
#manutd #heretocreate @ManUtd @JesseLingard https://t.co/widI4J976k"
"166","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"167","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"168","RT @HoustonDynamo: Topical references! Banter! Baldness!

This @MenInBlazers review of our 2018 @adidassoccer secondary jersey has it all!…"
"169","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"170","RT @hella_sneakers: Free: Enter to win @BoostedStripes via IG. RT pls. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

https://t.co/Drhs1hJ4WA

#boostvibes
#heretocreate
@adidasorigina…"
"171","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"172","RT @paulpogba: Wakanda forever <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>.
#manutd #heretocreate @ManUtd @JesseLingard https://t.co/widI4J976k"
"173","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"174","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"175","RT @Pharrell: Calling all Creators. #HereToCreate @adidas https://t.co/GOOTGMQLEl"
"176","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"177","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"178","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"179","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"180","RT @Pharrell: Calling all Creators. #HereToCreate @adidas https://t.co/GOOTGMQLEl"
"181","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"182","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"183","RT @hella_sneakers: Free: Enter to win @BoostedStripes via IG. RT pls. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

https://t.co/Drhs1hJ4WA

#boostvibes
#heretocreate
@adidasorigina…"
"184","RT @hella_sneakers: Free: Enter to win @BoostedStripes via IG. RT pls. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

https://t.co/Drhs1hJ4WA

#boostvibes
#heretocreate
@adidasorigina…"
"185","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"186","RT @LAGalaxy: THE QUASAR!!!!!!!

@adidassoccer x @MenInBlazers x @MLS
#HereToCreate https://t.co/JB4QdVQSQD"
"187","RT @TeamMessi: Watch me create.
#NEMEZIZ by Leo Messi.
#HereToCreate https://t.co/N9zVDAbdug"
"188","Free: Enter to win @BoostedStripes via IG. RT pls. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

https://t.co/Drhs1hJ4WA

#boostvibes
#heretocreate… https://t.co/0Mjt6RGUfM"
"189","RT @SneakerScouts: #ReleaseDate The Pharrell x adidas Tennis Hu 'Scarlet Red' is now available via @footlocker! #SneakerScouts #HereToCreat…"
"190","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"191","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"192","RT @YourManDevine: .@JHarden13 @adidasUS @adidasHoops Got that new logo you guys were looking for, thanks for the design opportunity #HereT…"
"193","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"194","RT @paulpogba: Good morning <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>
#heretocreate #manutd 
@ManUtd @adidasfootball https://t.co/l2EyJ5I498"
"195","In case you missed it, BIG night for @Ronnie_DeGray23 in his last playoff game he had 38pts, 12/16 from the field 1… https://t.co/7RRFMKfTLh"
"196","RT @HoustonDynamo: Topical references! Banter! Baldness!

This @MenInBlazers review of our 2018 @adidassoccer secondary jersey has it all!…"
"197","RT @SneakerScouts: #ReleaseDate The Pharrell x adidas Tennis Hu 'Bright Green' is now available via @Eastbay! #SneakerScouts #HereToCreate…"
"198","RT @SneakerScouts: #ReleaseDate The Pharrell x adidas Tennis Hu 'Bright Yellow' is now available via @footlocker! #SneakerScouts #HereToCre…"
"199","RT @SneakerScouts: #ReleaseDate The Pharrell x adidas Tennis Hu 'Bright Blue' is now available via @Footaction! #SneakerScouts #HereToCreat…"
"200","RT @SneakerScouts: #ReleaseDate The Pharrell x adidas Tennis Hu 'Scarlet Red' is now available via @Footaction! #SneakerScouts #HereToCreat…"
"201","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"202","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"203","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"204","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"205","RT @CoerverEW: COERVER® BLOG - Coerver® EW work with adidas® UK Tango League Champions <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

On Wednesday we spent the day with @kings5s at @a…"
"206","RT @adidassoccer: All black everything. <U+26AB><U+FE0F><U+26AB><U+FE0F><U+26AB><U+FE0F>
The Nite Crawler #PREDATOR Tango 18+
Available now: https://t.co/i903nshLb7
#HereToCreate ht…"
"207","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"208","RT @adidassoccer: All black everything. <U+26AB><U+FE0F><U+26AB><U+FE0F><U+26AB><U+FE0F>
The Nite Crawler #PREDATOR Tango 18+
Available now: https://t.co/i903nshLb7
#HereToCreate ht…"
"209","Long live high risk tolerance! #HereToCreate"
"210","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"211","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"212","RT @TimbersFC: The colors. The words. The stripes.

@MenInBlazers review our 2018 @MLS secondary kit. #HereToCreate #RCTID https://t.co/R67…"
"213","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"214","RT @paulpogba: Wakanda forever <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>.
#manutd #heretocreate @ManUtd @JesseLingard https://t.co/widI4J976k"
"215","RT @adidasfootball: All black everything. 
The new Nite Crawler #Predator Tango 18+, available now: https://t.co/b6GNzYVDDa
#HereToCreate h…"
"216","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"217","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"218","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"219","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"220","RT @TheRealKazadi: Shoutout to @adidasza For Gearing Me Up And Making Sure I Look <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> This Weekend at #BallUp3on3Swazi <ed><U+00A0><U+00BC><ed><U+00BF><U+0080> #HereToCreate  #adid…"
"221","RT @charlesroff: Derby fever <U+2620><U+FE0F> Good luck @Mobara45 and the @orlandopirates gents on Saturday. #Derby #AbsaPrem #PSL #WozaNazo #Buccaneers…"
"222","RT @TheRealKazadi: Shoutout to @adidasza For Gearing Me Up And Making Sure I Look <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> This Weekend at #BallUp3on3Swazi <ed><U+00A0><U+00BC><ed><U+00BF><U+0080> #HereToCreate  #adid…"
"223","RT @ColoradoRapids: The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary kit. (…"
"224","The moment we've all been waiting for... The experts over at @MenInBlazers give their review of our 2018 primary ki… https://t.co/QeQdGlGmAc"
"225","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"226","RT @paulpogba: Wakanda forever <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>.
#manutd #heretocreate @ManUtd @JesseLingard https://t.co/widI4J976k"
"227","RT @adidassoccer: All black everything. <U+26AB><U+FE0F><U+26AB><U+FE0F><U+26AB><U+FE0F>
The Nite Crawler #PREDATOR Tango 18+
Available now: https://t.co/i903nshLb7
#HereToCreate ht…"
"228","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"229","RT @TheRealKazadi: Shoutout to @adidasza For Gearing Me Up And Making Sure I Look <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> This Weekend at #BallUp3on3Swazi <ed><U+00A0><U+00BC><ed><U+00BF><U+0080> #HereToCreate  #adid…"
"230","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"231","All black everything. <U+26AB><U+FE0F><U+26AB><U+FE0F><U+26AB><U+FE0F>
The Nite Crawler #PREDATOR Tango 18+
Available now: https://t.co/i903nshLb7… https://t.co/GYKj8VuK3s"
"232","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"233","RT @adidasfootball: Hometown glory.
#HereToCreate 

#NEMEZIZ #Predator @ManUtd https://t.co/YmD3zKAGjO"
"234","RT @HoustonDynamo: Topical references! Banter! Baldness!

This @MenInBlazers review of our 2018 @adidassoccer secondary jersey has it all!…"
"235","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"236","RT @CoerverEW: COERVER® BLOG - Coerver® EW work with adidas® UK Tango League Champions <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

On Wednesday we spent the day with @kings5s at @a…"
"237","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"238","RT @NYCFC: .@MenInBlazers present the #NYCFC 2018 secondary kit in very suboptimal fashion <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> (cc: @adidassoccer @MLS) #HereToCreate https:/…"
"239","RT @BoostGoddess: made for LA <ed><U+00A0><U+00BC><ed><U+00BD><U+008A> 
built for speed <ed><U+00A0><U+00BC><ed><U+00BF><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>

#HereToCreate #747WarehouseSt #am4LA https://t.co/SH6ga3Ysqd"
"240","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"241","COERVER® BLOG - Coerver® EW work with adidas® UK Tango League Champions <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

On Wednesday we spent the day with… https://t.co/X7nH0aK2SO"
"242","RT @BallFever_CO_Tr: The Spring/Summer #HereToCreate is in the works! #copreps @jjscott_1834 2019 with 19 points, 6r, 2blks in Lewis Palmer…"
"243","RT @FulhamFC: Represent #FFC against @SUFC_tweets in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday's game for the…"
"244","RT @ManUtd: .@JesseLingard and @LukeShaw23 visited the @adidasfootball Market Street store recently before flying off on tour later today.…"
"245","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"246","The new <U+26AB><U+FE0F>Nite Crawler<U+26AB><U+FE0F> pack form @adidasfootball is available now at soccerloco. Which one is your favorite?… https://t.co/0wVR1hCJsG"
"247","RT @paulpogba: Good morning <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>
#heretocreate #manutd 
@ManUtd @adidasfootball https://t.co/l2EyJ5I498"
"248","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"249","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"250","RT @Benzema: New @realmadrid icon jersey <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @adidasfootball #HereToCreate #KBNueve https://t.co/Z0D1r6lrrh"
"251","RT @TimbersFC: The colors. The words. The stripes.

@MenInBlazers review our 2018 @MLS secondary kit. #HereToCreate #RCTID https://t.co/R67…"
"252","RT @PopoChung7: Adidas #ThisIsMe Creator ID campaign featuring @JLin7.... #HereToCreate #<U+6211><U+5C31><U+662F><U+6211> https://t.co/R8W2x20GH2"
"253","Shoutout to @adidasza For Gearing Me Up And Making Sure I Look <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> This Weekend at #BallUp3on3Swazi <ed><U+00A0><U+00BC><ed><U+00BF><U+0080> #HereToCreate… https://t.co/aTvlQBkULG"
"254","RT @TeamMessi: Watch me create.
#NEMEZIZ by Leo Messi.
#HereToCreate https://t.co/N9zVDAbdug"
"255","RT @TimbersFC: The colors. The words. The stripes.

@MenInBlazers review our 2018 @MLS secondary kit. #HereToCreate #RCTID https://t.co/R67…"
"256","RT @SUFC_tweets: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>Blades Fans! Take on @FulhamFC fans in the Cold Blooded Penalty Challenge on the pitch at half-time of Tuesday’s game for…"
"257","RT @TeamMessi: The captain prepares to lead his country. <ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>
Leo Messi introduces the @Argentina 2018 @FIFAWorldCup Home jersey.
Exclusively…"
"258","RT @TeamMessi: Centurion.
100 European goals for the greatest of all time.
#HereToCreate https://t.co/LVw5QIfhG0"
"259","RT @TeamMessi: Leo Messi lands in Moscow.
Next stop: the 2018 @FIFAWorldCup. <ed><U+00A0><U+00BC><ed><U+00BF><U+0086>
#HereToCreate #NEMEZIZ https://t.co/adwdMfEhZP"
